procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 372172  31680 431992    0    0     0     8 2731  519  9 17 74  0  0
 1  0    512 372172  31680 431996    0    0     0     0 3127 1146 11 16 73  0  0
 1  0    512 372172  31680 431996    0    0     0     0 2679  446  8 18 74  0  0
 1  0    512 372172  31680 431996    0    0     0     0 2588  244 10 16 74  0  0
 1  0    512 372172  31688 431996    0    0     0    12 2710  458  7 19 74  0  0
 1  0    512 372180  31688 431996    0    0     0     0 2770  738 10 16 74  0  0
 1  0    512 372180  31688 431996    0    0     0     0 2829  672 12 16 73  0  0
 1  0    512 372180  31688 431996    0    0     0     0 2719  469  9 17 74  0  0
 1  0    512 372180  31688 431996    0    0     0     0 2835  666 11 16 73  0  0
 1  0    512 372180  31688 431996    0    0     0     0 2931  877 10 16 74  0  0
 1  0    512 372180  31696 431996    0    0     0    16 2694  432 10 16 74  0  0
 1  0    512 372180  31696 431996    0    0     0     0 2887  763 10 18 72  0  0
 1  0    512 372180  31696 431996    0    0     0     0 2778  630 10 16 74  0  0
 1  0    512 372180  31696 431996    0    0     0     0 3003  975 11 17 72  0  0
 1  0    512 372180  31696 431996    0    0     0     0 2637  357  9 17 74  0  0
 1  0    512 372180  31696 431996    0    0     0     0 2736  492  9 18 74  0  0
 1  0    512 372180  31704 431988    0    0     0    12 2645  340  9 17 74  0  0
 1  0    512 372180  31704 431988    0    0     0     0 2671  394  7 19 74  0  0
 1  0    512 372180  31704 431988    0    0     0     0 2693  455 11 15 74  0  0
 1  0    512 372180  31704 431988    0    0     0     0 2849  663 11 16 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372180  31704 431988    0    0     0     8 2795  629  9 18 73  0  0
 1  0    512 372180  31704 431996    0    0     0     0 2637  344  8 18 74  0  0
 1  0    512 372180  31712 431996    0    0     0    20 2734  540  9 17 74  0  0
 1  0    512 372180  31712 431996    0    0     0     0 2735  586  6 19 74  0  0
 1  0    512 372180  31712 431996    0    0     0     0 3044 1030 11 16 73  0  0
 2  0    512 372180  31712 431996    0    0     0     0 3021  996 12 15 73  0  0
 1  0    512 372180  31712 431996    0    0     0     0 2985  979 11 17 72  0  0
 1  0    512 372180  31712 431996    0    0     0     0 2984  905 10 18 73  0  0
 1  0    512 372180  31720 431988    0    0     0    12 2883  769 11 16 73  0  0
 1  0    512 372180  31720 431988    0    0     0     0 2756  565 12 14 74  0  0
 1  0    512 371808  31720 431996    0    0     0     4 3022  970 11 17 72  0  0
 1  0    512 371808  31720 431996    0    0     0     0 2733  559 11 15 74  0  0
 2  0    512 371808  31720 431996    0    0     0     0 2964  955 11 16 73  0  0
 1  0    512 371808  31720 431996    0    0     0     0 3001 1030 11 16 73  0  0
 1  0    512 371808  31728 431996    0    0     0    28 3018 1022 11 15 74  0  0
 1  0    512 371808  31728 431996    0    0     0     0 2732  536 12 14 74  0  0
 1  0    512 371808  31728 431996    0    0     0    24 3001  991 12 16 73  0  0
 1  0    512 371808  31728 431996    0    0     0     0 2760  574 10 16 74  0  0
 1  0    512 371808  31728 431996    0    0     0     0 2848  692 11 16 74  0  0
 1  0    512 371808  31728 431996    0    0     0     0 2745  538 10 15 74  0  0
 1  0    512 371808  31736 431992    0    0     0    16 2942  886 11 16 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 371808  31736 431992    0    0     0     0 2940  870 10 17 73  0  0
 1  0    512 371808  31736 431992    0    0     0     0 2685  432 10 15 75  0  0
 1  0    512 371808  31736 431992    0    0     0     0 2686  439 10 15 75  0  0
 1  0    512 371808  31736 432000    0    0     0     0 2644  367  8 18 75  0  0
 1  0    512 371808  31736 432000    0    0     0     0 2703  466 11 15 74  0  0
 1  0    512 371808  31744 431992    0    0     0    12 2706  473 11 16 73  0  0
